Epoch finished | loss_D: 0.5249 | loss_G: 5.5455
Epoch [37/50] | loss_D: 0.1911 | loss_G: 5.5221
Epoch finished | loss_D: 0.1801 | loss_G: 5.3618
Epoch [38/50] | loss_D: 0.1801 | loss_G: 5.3618
Epoch finished | loss_D: 0.2047 | loss_G: 5.4969
Epoch [39/50] | loss_D: 0.2047 | loss_G: 5.4969
Epoch finished | loss_D: 0.2078 | loss_G: 5.3792
Epoch [40/50] | loss_D: 0.2078 | loss_G: 5.3792
Epoch finished | loss_D: 0.1061 | loss_G: 5.7229
Epoch [41/50] | loss_D: 0.1061 | loss_G: 5.7229
Epoch finished | loss_D: 0.2156 | loss_G: 5.5194
Epoch [42/50] | loss_D: 0.2156 | loss_G: 5.5194
Epoch finished | loss_D: 0.1454 | loss_G: 5.8201
Epoch [43/50] | loss_D: 0.1454 | loss_G: 5.8201
Epoch finished | loss_D: 0.2067 | loss_G: 5.6475
Epoch [44/50] | loss_D: 0.2067 | loss_G: 5.6475
Epoch finished | loss_D: 0.1654 | loss_G: 5.6821
Epoch [45/50] | loss_D: 0.1654 | loss_G: 5.6821
Epoch finished | loss_D: 0.1961 | loss_G: 5.7538
Epoch [46/50] | loss_D: 0.1961 | loss_G: 5.7538
Epoch finished | loss_D: 0.2232 | loss_G: 5.4935
Epoch [47/50] | loss_D: 0.2232 | loss_G: 5.4935
Epoch finished | loss_D: 0.1302 | loss_G: 5.8009
Epoch [48/50] | loss_D: 0.1302 | loss_G: 5.8009
Epoch finished | loss_D: 0.1921 | loss_G: 5.7496
Epoch [49/50] | loss_D: 0.1921 | loss_G: 5.7496
Epoch finished | loss_D: 0.1322 | loss_G: 5.8860
Epoch [50/50] | loss_D: 0.1322 | loss_G: 5.8860
