Epoch finished | loss_D: 0.5249 | loss_G: 5.5455
Epoch [1/5] | loss_D: 0.5249 | loss_G: 5.5455
Epoch finished | loss_D: 0.5818 | loss_G: 3.9474
Epoch [2/5] | loss_D: 0.5818 | loss_G: 3.9474
Epoch finished | loss_D: 0.5753 | loss_G: 3.3584
Epoch [3/5] | loss_D: 0.5753 | loss_G: 3.3584
Epoch finished | loss_D: 0.5901 | loss_G: 3.3314
Epoch [4/5] | loss_D: 0.5901 | loss_G: 3.3314
Epoch finished | loss_D: 0.5416 | loss_G: 3.4173
Epoch [5/5] | loss_D: 0.5416 | loss_G: 3.4173
Epoch finished | loss_D: 0.5497 | loss_G: 5.4133
Epoch [1/20] | loss_D: 0.5497 | loss_G: 5.4133
Epoch finished | loss_D: 0.5648 | loss_G: 4.0205
Epoch [2/20] | loss_D: 0.5648 | loss_G: 4.0205
Epoch finished | loss_D: 0.5484 | loss_G: 3.5886
Epoch [3/20] | loss_D: 0.5484 | loss_G: 3.5886
Epoch finished | loss_D: 0.5794 | loss_G: 3.4012
Epoch [4/20] | loss_D: 0.5794 | loss_G: 3.4012
Epoch finished | loss_D: 0.5223 | loss_G: 3.3889
Epoch [5/20] | loss_D: 0.5223 | loss_G: 3.3889
Epoch finished | loss_D: 0.5350 | loss_G: 3.4674
Epoch [6/20] | loss_D: 0.5350 | loss_G: 3.4674
Epoch finished | loss_D: 0.5408 | loss_G: 3.3333
Epoch [7/20] | loss_D: 0.5408 | loss_G: 3.3333
Epoch finished | loss_D: 0.5187 | loss_G: 3.3452
Epoch [8/20] | loss_D: 0.5187 | loss_G: 3.3452
Epoch finished | loss_D: 0.5131 | loss_G: 3.3459
Epoch [9/20] | loss_D: 0.5131 | loss_G: 3.3459
Epoch finished | loss_D: 0.4563 | loss_G: 3.5416
Epoch [10/20] | loss_D: 0.4563 | loss_G: 3.5416
Epoch finished | loss_D: 0.4308 | loss_G: 3.6341
Epoch [11/20] | loss_D: 0.4308 | loss_G: 3.6341
Epoch finished | loss_D: 0.4165 | loss_G: 3.7341
Epoch [12/20] | loss_D: 0.4165 | loss_G: 3.7341
Epoch finished | loss_D: 0.4166 | loss_G: 3.8180
Epoch [13/20] | loss_D: 0.4166 | loss_G: 3.8180
Epoch finished | loss_D: 0.3549 | loss_G: 3.8516
Epoch [14/20] | loss_D: 0.3549 | loss_G: 3.8516
Epoch finished | loss_D: 0.4388 | loss_G: 3.8579
Epoch [15/20] | loss_D: 0.4388 | loss_G: 3.8579
Epoch finished | loss_D: 0.3534 | loss_G: 4.0490
Epoch [16/20] | loss_D: 0.3534 | loss_G: 4.0490
Epoch finished | loss_D: 0.2754 | loss_G: 4.2109
Epoch [17/20] | loss_D: 0.2754 | loss_G: 4.2109
Epoch finished | loss_D: 0.3417 | loss_G: 4.2457
Epoch [18/20] | loss_D: 0.3417 | loss_G: 4.2457
Epoch finished | loss_D: 0.3387 | loss_G: 4.3419
Epoch [19/20] | loss_D: 0.3387 | loss_G: 4.3419
Epoch finished | loss_D: 0.3074 | loss_G: 4.3140
Epoch [20/20] | loss_D: 0.3074 | loss_G: 4.3140
Epoch finished | loss_D: 0.5680 | loss_G: 5.3222
Epoch [1/50] | loss_D: 0.5680 | loss_G: 5.3222
Epoch finished | loss_D: 0.5608 | loss_G: 4.0337
Epoch [2/50] | loss_D: 0.5608 | loss_G: 4.0337
Epoch finished | loss_D: 0.5895 | loss_G: 3.3814
Epoch [3/50] | loss_D: 0.5895 | loss_G: 3.3814
Epoch finished | loss_D: 0.5757 | loss_G: 3.3364
Epoch [4/50] | loss_D: 0.5757 | loss_G: 3.3364
Epoch finished | loss_D: 0.5779 | loss_G: 3.2536
Epoch [5/50] | loss_D: 0.5779 | loss_G: 3.2536
Epoch finished | loss_D: 0.5927 | loss_G: 3.1797
Epoch [6/50] | loss_D: 0.5927 | loss_G: 3.1797
Epoch finished | loss_D: 0.5652 | loss_G: 3.2017
Epoch [7/50] | loss_D: 0.5652 | loss_G: 3.2017
Epoch finished | loss_D: 0.5390 | loss_G: 3.2531
Epoch [8/50] | loss_D: 0.5390 | loss_G: 3.2531
Epoch finished | loss_D: 0.5252 | loss_G: 3.3334
Epoch [9/50] | loss_D: 0.5252 | loss_G: 3.3334
Epoch finished | loss_D: 0.4429 | loss_G: 3.5177
Epoch [10/50] | loss_D: 0.4429 | loss_G: 3.5177
Epoch finished | loss_D: 0.4691 | loss_G: 3.5836
Epoch [11/50] | loss_D: 0.4691 | loss_G: 3.5836
Epoch finished | loss_D: 0.3996 | loss_G: 3.7363
Epoch [12/50] | loss_D: 0.3996 | loss_G: 3.7363
Epoch finished | loss_D: 0.4023 | loss_G: 3.8523
Epoch [13/50] | loss_D: 0.4023 | loss_G: 3.8523
Epoch finished | loss_D: 0.3434 | loss_G: 4.0109
Epoch [14/50] | loss_D: 0.3434 | loss_G: 4.0109
Epoch finished | loss_D: 0.3727 | loss_G: 3.9753
Epoch [15/50] | loss_D: 0.3727 | loss_G: 3.9753
Epoch finished | loss_D: 0.3404 | loss_G: 4.1688
Epoch [16/50] | loss_D: 0.3404 | loss_G: 4.1688
Epoch finished | loss_D: 0.3301 | loss_G: 4.2078
Epoch [17/50] | loss_D: 0.3301 | loss_G: 4.2078
Epoch finished | loss_D: 0.3031 | loss_G: 4.2702
Epoch [18/50] | loss_D: 0.3031 | loss_G: 4.2702
Epoch finished | loss_D: 0.3658 | loss_G: 4.2556
Epoch [19/50] | loss_D: 0.3658 | loss_G: 4.2556
Epoch finished | loss_D: 0.3133 | loss_G: 4.3661
Epoch [20/50] | loss_D: 0.3133 | loss_G: 4.3661
Epoch finished | loss_D: 0.2651 | loss_G: 4.4555
Epoch [21/50] | loss_D: 0.2651 | loss_G: 4.4555
Epoch finished | loss_D: 0.3314 | loss_G: 4.4628
Epoch [22/50] | loss_D: 0.3314 | loss_G: 4.4628
Epoch finished | loss_D: 0.2691 | loss_G: 4.5641
Epoch [23/50] | loss_D: 0.2691 | loss_G: 4.5641
Epoch finished | loss_D: 0.2579 | loss_G: 4.6266
Epoch [24/50] | loss_D: 0.2579 | loss_G: 4.6266
Epoch finished | loss_D: 0.2749 | loss_G: 4.8080
Epoch [25/50] | loss_D: 0.2749 | loss_G: 4.8080
Epoch finished | loss_D: 0.2401 | loss_G: 4.7928
Epoch [26/50] | loss_D: 0.2401 | loss_G: 4.7928
Epoch finished | loss_D: 0.2719 | loss_G: 4.8588
Epoch [27/50] | loss_D: 0.2719 | loss_G: 4.8588
Epoch finished | loss_D: 0.2104 | loss_G: 4.9631
Epoch [28/50] | loss_D: 0.2104 | loss_G: 4.9631
Epoch finished | loss_D: 0.2866 | loss_G: 4.7678
Epoch [29/50] | loss_D: 0.2866 | loss_G: 4.7678
Epoch finished | loss_D: 0.2306 | loss_G: 5.0530
Epoch [30/50] | loss_D: 0.2306 | loss_G: 5.0530
Epoch finished | loss_D: 0.2561 | loss_G: 5.1803
Epoch [31/50] | loss_D: 0.2561 | loss_G: 5.1803
Epoch finished | loss_D: 0.1900 | loss_G: 5.1433
Epoch [32/50] | loss_D: 0.1900 | loss_G: 5.1433
Epoch finished | loss_D: 0.1853 | loss_G: 5.3013
Epoch [33/50] | loss_D: 0.1853 | loss_G: 5.3013
Epoch finished | loss_D: 0.2260 | loss_G: 5.2067
Epoch [34/50] | loss_D: 0.2260 | loss_G: 5.2067
Epoch finished | loss_D: 0.1809 | loss_G: 5.2649
Epoch [35/50] | loss_D: 0.1809 | loss_G: 5.2649
Epoch finished | loss_D: 0.2427 | loss_G: 5.1751
Epoch [36/50] | loss_D: 0.2427 | loss_G: 5.1751
Epoch finished | loss_D: 0.1911 | loss_G: 5.5221
