Epoch finished | loss_D: 0.8254 | loss_G: 4.2363
Epoch [1/50] | loss_D: 0.8254 | loss_G: 4.2363
Epoch finished | loss_D: 0.6824 | loss_G: 3.6454
Epoch [2/50] | loss_D: 0.6824 | loss_G: 3.6454
Epoch finished | loss_D: 0.7107 | loss_G: 3.1626
Epoch [3/50] | loss_D: 0.7107 | loss_G: 3.1626
Epoch finished | loss_D: 0.6616 | loss_G: 3.1761
Epoch [4/50] | loss_D: 0.6616 | loss_G: 3.1761
Epoch finished | loss_D: 0.6537 | loss_G: 3.1669
Epoch [5/50] | loss_D: 0.6537 | loss_G: 3.1669
Epoch finished | loss_D: 0.6308 | loss_G: 3.1657
Epoch [6/50] | loss_D: 0.6308 | loss_G: 3.1657
Epoch finished | loss_D: 0.6105 | loss_G: 3.1294
Epoch [7/50] | loss_D: 0.6105 | loss_G: 3.1294
Epoch finished | loss_D: 0.6202 | loss_G: 3.0666
Epoch [8/50] | loss_D: 0.6202 | loss_G: 3.0666
Epoch finished | loss_D: 0.6136 | loss_G: 3.0524
Epoch [9/50] | loss_D: 0.6136 | loss_G: 3.0524
Epoch finished | loss_D: 0.6048 | loss_G: 3.1185
Epoch [10/50] | loss_D: 0.6048 | loss_G: 3.1185
Epoch finished | loss_D: 0.5881 | loss_G: 3.1006
Epoch [11/50] | loss_D: 0.5881 | loss_G: 3.1006
Epoch finished | loss_D: 0.5818 | loss_G: 3.1232
Epoch [12/50] | loss_D: 0.5818 | loss_G: 3.1232
Epoch finished | loss_D: 0.5612 | loss_G: 3.1886
Epoch [13/50] | loss_D: 0.5612 | loss_G: 3.1886
Epoch finished | loss_D: 0.5687 | loss_G: 3.1871
Epoch [14/50] | loss_D: 0.5687 | loss_G: 3.1871
Epoch finished | loss_D: 0.5579 | loss_G: 3.2258
Epoch [15/50] | loss_D: 0.5579 | loss_G: 3.2258
Epoch finished | loss_D: 0.5485 | loss_G: 3.2432
Epoch [16/50] | loss_D: 0.5485 | loss_G: 3.2432
Epoch finished | loss_D: 0.5362 | loss_G: 3.3141
Epoch [17/50] | loss_D: 0.5362 | loss_G: 3.3141
Epoch finished | loss_D: 0.5300 | loss_G: 3.3550
Epoch [18/50] | loss_D: 0.5300 | loss_G: 3.3550
Epoch finished | loss_D: 0.5303 | loss_G: 3.3745
Epoch [19/50] | loss_D: 0.5303 | loss_G: 3.3745
Epoch finished | loss_D: 0.5159 | loss_G: 3.3323
Epoch [20/50] | loss_D: 0.5159 | loss_G: 3.3323
Epoch finished | loss_D: 0.5125 | loss_G: 3.4404
Epoch [21/50] | loss_D: 0.5125 | loss_G: 3.4404
Epoch finished | loss_D: 0.5100 | loss_G: 3.3769
Epoch [22/50] | loss_D: 0.5100 | loss_G: 3.3769
Epoch finished | loss_D: 0.5031 | loss_G: 3.4535
Epoch [23/50] | loss_D: 0.5031 | loss_G: 3.4535
Epoch finished | loss_D: 0.5112 | loss_G: 3.4875
Epoch [24/50] | loss_D: 0.5112 | loss_G: 3.4875
Epoch finished | loss_D: 0.4906 | loss_G: 3.4905
Epoch [25/50] | loss_D: 0.4906 | loss_G: 3.4905
Epoch finished | loss_D: 0.4663 | loss_G: 3.5595
Epoch [26/50] | loss_D: 0.4663 | loss_G: 3.5595
Epoch finished | loss_D: 0.5007 | loss_G: 3.5299
Epoch [27/50] | loss_D: 0.5007 | loss_G: 3.5299
Epoch finished | loss_D: 0.4555 | loss_G: 3.6384
Epoch [28/50] | loss_D: 0.4555 | loss_G: 3.6384
Epoch finished | loss_D: 0.5106 | loss_G: 3.5417
Epoch [29/50] | loss_D: 0.5106 | loss_G: 3.5417
Epoch finished | loss_D: 0.4677 | loss_G: 3.6209
Epoch [30/50] | loss_D: 0.4677 | loss_G: 3.6209
Epoch finished | loss_D: 0.4839 | loss_G: 3.5810
Epoch [31/50] | loss_D: 0.4839 | loss_G: 3.5810
Epoch finished | loss_D: 0.4613 | loss_G: 3.6241
Epoch [32/50] | loss_D: 0.4613 | loss_G: 3.6241
Epoch finished | loss_D: 0.4610 | loss_G: 3.6897
Epoch [33/50] | loss_D: 0.4610 | loss_G: 3.6897
Epoch finished | loss_D: 0.4666 | loss_G: 3.6526
Epoch [34/50] | loss_D: 0.4666 | loss_G: 3.6526
Epoch finished | loss_D: 0.4906 | loss_G: 3.6262
Epoch [35/50] | loss_D: 0.4906 | loss_G: 3.6262
Epoch finished | loss_D: 0.4505 | loss_G: 3.6850
Epoch [36/50] | loss_D: 0.4505 | loss_G: 3.6850
Epoch finished | loss_D: 0.4497 | loss_G: 3.7331
Epoch [37/50] | loss_D: 0.4497 | loss_G: 3.7331
Epoch finished | loss_D: 0.4466 | loss_G: 3.8344
Epoch [38/50] | loss_D: 0.4466 | loss_G: 3.8344
Epoch finished | loss_D: 0.4536 | loss_G: 3.6968
Epoch [39/50] | loss_D: 0.4536 | loss_G: 3.6968
Epoch finished | loss_D: 0.4586 | loss_G: 3.7417
Epoch [40/50] | loss_D: 0.4586 | loss_G: 3.7417
Epoch finished | loss_D: 0.4531 | loss_G: 3.7715
Epoch [41/50] | loss_D: 0.4531 | loss_G: 3.7715
Epoch finished | loss_D: 0.4129 | loss_G: 3.9016
Epoch [42/50] | loss_D: 0.4129 | loss_G: 3.9016
Epoch finished | loss_D: 0.4647 | loss_G: 3.7469
Epoch [43/50] | loss_D: 0.4647 | loss_G: 3.7469
Epoch finished | loss_D: 0.4325 | loss_G: 3.8217
Epoch [44/50] | loss_D: 0.4325 | loss_G: 3.8217
Epoch finished | loss_D: 0.4683 | loss_G: 3.7307
Epoch [45/50] | loss_D: 0.4683 | loss_G: 3.7307
Epoch finished | loss_D: 0.4339 | loss_G: 3.8505
Epoch [46/50] | loss_D: 0.4339 | loss_G: 3.8505
Epoch finished | loss_D: 0.4317 | loss_G: 3.8834
Epoch [47/50] | loss_D: 0.4317 | loss_G: 3.8834
Epoch finished | loss_D: 0.4218 | loss_G: 3.8971
Epoch [48/50] | loss_D: 0.4218 | loss_G: 3.8971
Epoch finished | loss_D: 0.4072 | loss_G: 3.9831
Epoch [49/50] | loss_D: 0.4072 | loss_G: 3.9831
Epoch finished | loss_D: 0.4157 | loss_G: 3.9688
Epoch [50/50] | loss_D: 0.4157 | loss_G: 3.9688
Epoch finished | loss_D: 0.7902 | loss_G: 4.4296
Epoch [1/100] | loss_D: 0.7902 | loss_G: 4.4296
Epoch finished | loss_D: 0.7288 | loss_G: 3.3574
Epoch [2/100] | loss_D: 0.7288 | loss_G: 3.3574
Epoch finished | loss_D: 0.6933 | loss_G: 3.2118
Epoch [3/100] | loss_D: 0.6933 | loss_G: 3.2118
Epoch finished | loss_D: 0.6620 | loss_G: 3.1632
Epoch [4/100] | loss_D: 0.6620 | loss_G: 3.1632
Epoch finished | loss_D: 0.6292 | loss_G: 3.2279
Epoch [5/100] | loss_D: 0.6292 | loss_G: 3.2279
Epoch finished | loss_D: 0.6018 | loss_G: 3.2782
Epoch [6/100] | loss_D: 0.6018 | loss_G: 3.2782
Epoch finished | loss_D: 0.6264 | loss_G: 3.1444
Epoch [7/100] | loss_D: 0.6264 | loss_G: 3.1444
Epoch finished | loss_D: 0.5955 | loss_G: 3.1439
Epoch [8/100] | loss_D: 0.5955 | loss_G: 3.1439
Epoch finished | loss_D: 0.6078 | loss_G: 3.1280
Epoch [9/100] | loss_D: 0.6078 | loss_G: 3.1280
Epoch finished | loss_D: 0.5906 | loss_G: 3.1276
Epoch [10/100] | loss_D: 0.5906 | loss_G: 3.1276
Epoch finished | loss_D: 0.6028 | loss_G: 3.1272
Epoch [11/100] | loss_D: 0.6028 | loss_G: 3.1272
Epoch finished | loss_D: 0.5593 | loss_G: 3.1821
Epoch [12/100] | loss_D: 0.5593 | loss_G: 3.1821
Epoch finished | loss_D: 0.5492 | loss_G: 3.2366
Epoch [13/100] | loss_D: 0.5492 | loss_G: 3.2366
Epoch finished | loss_D: 0.5571 | loss_G: 3.2347
Epoch [14/100] | loss_D: 0.5571 | loss_G: 3.2347
Epoch finished | loss_D: 0.5607 | loss_G: 3.2235
Epoch [15/100] | loss_D: 0.5607 | loss_G: 3.2235
Epoch finished | loss_D: 0.5229 | loss_G: 3.3165
Epoch [16/100] | loss_D: 0.5229 | loss_G: 3.3165
Epoch finished | loss_D: 0.5609 | loss_G: 3.2605
Epoch [17/100] | loss_D: 0.5609 | loss_G: 3.2605
Epoch finished | loss_D: 0.5203 | loss_G: 3.3273
Epoch [18/100] | loss_D: 0.5203 | loss_G: 3.3273
Epoch finished | loss_D: 0.5290 | loss_G: 3.3492
Epoch [19/100] | loss_D: 0.5290 | loss_G: 3.3492
Epoch finished | loss_D: 0.5068 | loss_G: 3.3999
Epoch [20/100] | loss_D: 0.5068 | loss_G: 3.3999
Epoch finished | loss_D: 0.4992 | loss_G: 3.4323
Epoch [21/100] | loss_D: 0.4992 | loss_G: 3.4323
Epoch finished | loss_D: 0.5269 | loss_G: 3.3796
Epoch [22/100] | loss_D: 0.5269 | loss_G: 3.3796
Epoch finished | loss_D: 0.5139 | loss_G: 3.4028
Epoch [23/100] | loss_D: 0.5139 | loss_G: 3.4028
Epoch finished | loss_D: 0.4993 | loss_G: 3.4811
Epoch [24/100] | loss_D: 0.4993 | loss_G: 3.4811
Epoch finished | loss_D: 0.4764 | loss_G: 3.5359
Epoch [25/100] | loss_D: 0.4764 | loss_G: 3.5359
Epoch finished | loss_D: 0.5016 | loss_G: 3.4782
Epoch [26/100] | loss_D: 0.5016 | loss_G: 3.4782
Epoch finished | loss_D: 0.4631 | loss_G: 3.5605
