label,second_view_type,blur_radius,rotation_degrees,accuracy,f1,auc,eer
original_only,identity,0.0,0.0,0.75375,0.758873929008568,0.8347937499999998,0.23749999999999435
blur_1.0,blur,1.0,0.0,0.82125,0.824969400244798,0.9070312500000001,0.17499999999999996
blur_2.0,blur,2.0,0.0,0.84125,0.843403205918619,0.933825,0.1575000000000022
blur_3.0,blur,3.0,0.0,0.84625,0.8321964529331515,0.9446125000000001,0.13250000000001566
rotation_5,rotation,0.0,5.0,0.7425,0.7493917274939172,0.8377093750000002,0.247500000000001
rotation_10,rotation,0.0,10.0,0.76875,0.7523427041499331,0.8555031250000001,0.22750000000014395
rotation_15,rotation,0.0,15.0,0.8125,0.8086734693877551,0.8936499999999999,0.1800000000012554
rotation_10_blur_2.0,rotation_blur,2.0,10.0,0.87,0.8690176322418136,0.9540124999999999,0.13250000000000747
rotation_15_blur_2.0,rotation_blur,2.0,15.0,0.935,0.935,0.980615625,0.06499999999999995
