iter	Logloss
0	0.6847444685
1	0.6753034982
2	0.6686116257
3	0.6624730107
4	0.654114489
5	0.6453271783
6	0.6372248112
7	0.6315524164
8	0.6258130293
9	0.6211699317
10	0.612749628
11	0.6061147595
12	0.5995074014
13	0.5932370369
14	0.5873983048
15	0.5809719715
16	0.5761018674
17	0.5685283236
18	0.5631395617
19	0.556931063
20	0.5526648923
21	0.54778968
22	0.5434490658
23	0.5386442023
24	0.5315179247
25	0.5267237307
26	0.5219938053
27	0.5168070898
28	0.5124718098
29	0.5068999418
30	0.5042357051
31	0.4984829728
32	0.4948523242
33	0.4900278656
34	0.4857000682
35	0.4830578158
36	0.4789808092
37	0.4751218653
38	0.4710383382
39	0.4674455927
40	0.4641920833
41	0.4615255592
42	0.4584368872
43	0.4537298123
44	0.448666149
45	0.4427838223
46	0.4400817027
47	0.4349637375
48	0.4310791407
49	0.4271015106
50	0.4257837234
51	0.4230039336
52	0.4208263851
53	0.4180143613
54	0.4142936755
55	0.411147335
56	0.4090642374
57	0.4056296701
58	0.4021718759
59	0.3989779278
60	0.3953508034
61	0.3917840952
62	0.3899991492
63	0.38656069
64	0.3828122229
65	0.3799453561
66	0.3780179926
67	0.375230589
68	0.3721267262
69	0.3693643422
70	0.3666559136
71	0.3641448003
72	0.3613046255
73	0.3585993815
74	0.3557736712
75	0.354474844
76	0.3518011795
77	0.3495248295
78	0.3462244086
79	0.3442203072
80	0.3414096317
81	0.3390163182
82	0.3370517439
83	0.334702562
84	0.3319501971
85	0.3297968459
86	0.327253924
87	0.3247874743
88	0.3228761005
89	0.320243551
90	0.3177709613
91	0.3150453763
92	0.3124739609
93	0.309467035
94	0.3074763351
95	0.3043679838
96	0.3019277587
97	0.2997670394
98	0.2968460443
99	0.294467878
